Hidden State,Observed State,Lane,Suddeness,TimeStamp,Passenger Load,Driver Behavior,Reason for lane change,Remarks,Average Speed,Passenger Load.1,+,-,Unnamed: 13
Vehicle,Go,2nd Lane,,13:33:31,Low (0 - 33 %),,,slow moving,9km/h,,,,
Vehicle,1 Lane Right,2nd Lane,Sudden Acceleration,13:33:49,Low (0 - 33 %),no people seen,returned back to 1st lane near pedestrian,,,,,,
Passenger,Stop,1st Lane,,13:34:13,Low (0 - 33 %),fake passengers,,,,,,,
Vehicle,Go,1st Lane,,13:34:16,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:34:57,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,13:35:06,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:35:13,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:36:03,Low (0 - 33 %),,road after intersction is bigger,,,,,,
Vehicle,1 Lane Left,3rd Lane,,13:36:14,Low (0 - 33 %),,eventually turning left,,25km/h,,,,
Vehicle,Stop,3rd Lane,,13:36:59,Low (0 - 33 %),,,traffic,,7.0,-2.0,1.0,
Vehicle,Go,3rd Lane,,13:37:50,Low (0 - 33 %),,,,,,,,
Vehicle,2 Lane Right,1st Lane,,13:37:57,Low (0 - 33 %),,,road after intersection is smaller,26km/h,,,,
Vehicle,Stop,1st Lane,Sudden Break,13:38:11,Low (0 - 33 %),,,"small road at right, inserting into traffic",,,,,
Vehicle,Go,1st Lane,,13:38:13,Low (0 - 33 %),,,,21km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,13:38:59,Low (0 - 33 %),,"taking both lanes, jeep parked at right",,,,,,
Vehicle,1 Lane Right,1st Lane,,13:39:11,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:39:12,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,13:39:14,Low (0 - 33 %),,,,,5.0,-2.0,,
Vehicle,1 Lane Left,2nd Lane,,13:39:24,Low (0 - 33 %),,jeep parked at right,,,,,,
Vehicle,1 Lane Right,1st Lane,,13:39:33,Low (0 - 33 %),,see passenger at right,,,,,,
Vehicle,Stop,1st Lane,,13:39:34,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:39:35,Low (0 - 33 %),,,,,6.0,1.0,,
Vehicle,Go,1st Lane,,13:39:38,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:39:42,Low (0 - 33 %),,,,,,,,
Vehicle,Load,1st Lane,,13:39:44,Low (0 - 33 %),,,,,7.0,1.0,,
Vehicle,Go,1st Lane,,13:39:52,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:40:01,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,Sudden Break,13:40:03,Low (0 - 33 %),immediate stop after someone wanted to unload,,,,,,,
Vehicle,Go,1st Lane,,13:40:13,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:40:23,Low (0 - 33 %),,car parked at right,,,,,,
Stoplight,1 Lane Right,1st Lane,,13:40:50,Low (0 - 33 %),,drop off passengers,traffic light also,,8.0,2.0,-1.0,
Vehicle,Go,1st Lane,,13:42:10,Low (0 - 33 %),,,,22km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,13:42:24,Low (0 - 33 %),,road after intersction is bigger,,,,,,
Vehicle,1 Lane Right,1st Lane,,13:42:34,Low (0 - 33 %),,looking for passengers,market before big 4-lane bridge,,,,,
Passenger,Stop,1st Lane,,13:42:40,Low (0 - 33 %),fake passengers,,,,,,,
Vehicle,Go,1st Lane,,13:42:45,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:42:51,Low (0 - 33 %),,,jeep stops in front of them,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:43:00,Low (0 - 33 %),,not going inner road,,,,,,
Vehicle,1 Lane Right,1st Lane,,13:43:16,Low (0 - 33 %),,going to passenger side,,,,,,
Vehicle,Stop,2nd Lane,,13:43:22,Low (0 - 33 %),,,"traffic, no lane change, road just got bigger",,,,,
Vehicle,Go,2nd Lane,,13:43:26,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,3rd Lane,,13:44:53,Low (0 - 33 %),,obstruction in road,,29km/h,,,,
Vehicle,2 Lane Left,3rd Lane,,13:45:00,Low (0 - 33 %),,no cars in front,"there is lane change but no change in no. of lane, road ahead got narrower",,,,,
Vehicle,Go,3rd Lane,Sudden Acceleration,13:45:20,Low (0 - 33 %),speeding to switch lanes,,,,,,,
Vehicle,1 Lane Left,4th Lane,,13:45:22,Low (0 - 33 %),,no cars in front,,,,,,
Vehicle,1 Lane Right,3rd Lane,,13:45:39,Low (0 - 33 %),,passenger wants to drop off,,,,,,
Passenger,Stop,3rd Lane,Sudden Break,13:45:48,Low (0 - 33 %),,"attempt to drop off passenger, failed",,,,,,
Vehicle,Go,3rd Lane,,13:45:54,Low (0 - 33 %),"slowly moving, attempting to drop off passenger",,,,,,,
Vehicle,1 Lane Right,2nd Lane,,13:46:13,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,2nd Lane,,13:46:14,Low (0 - 33 %),,,,,,,,
Passenger,Unload,2nd Lane,,13:46:15,Low (0 - 33 %),,,,,7.0,-1.0,,
Vehicle,Go,2nd Lane,Sudden Acceleration,13:46:18,Low (0 - 33 %),caused traffic while dropping off,,,,,,,
Vehicle,1 Lane Left,3rd Lane,,13:46:28,Low (0 - 33 %),,turning left to enter bridge,,,,,,
Vehicle,Go,1st Lane,,13:46:38,Low (0 - 33 %),,"no lane change, entered 2-lane bridge",,,,,,
Vehicle,Stop,1st Lane,,13:46:39,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,Sudden Break,13:46:41,Low (0 - 33 %),,,,,6.0,-1.0,,
Vehicle,Go,1st Lane,Sudden Acceleration,13:46:50,Low (0 - 33 %),caused traffic while dropping off,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,13:47:10,Low (0 - 33 %),,"taking both lanes, can't load/unload in bridge so fast",,,,,,
Vehicle,Stop,2nd Lane,Sudden Break,13:47:22,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:47:30,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Stop,2nd Lane,,13:47:35,Low (0 - 33 %),,,,,,,,
Vehicle,Go,2nd Lane,,13:47:57,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:48:28,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:48:35,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:50:17,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:50:36,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:50:52,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:50:59,Low (0 - 33 %),,,"slow moving, traffic",,,,,
Vehicle,Stop,2nd Lane,,13:51:11,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:52:02,Low (0 - 33 %),,,"slow moving, traffic",,,,,
Vehicle,Stop,2nd Lane,,13:52:42,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:53:33,Low (0 - 33 %),,,"slow moving, traffic",,,,,
Stoplight,Stop,2nd Lane,,13:53:53,Low (0 - 33 %),,,traffic,,,,,
Passenger,Load,2nd Lane,,13:53:55,Low (0 - 33 %),,,,,7.0,1.0,,
Passenger,Unload,2nd Lane,,13:53:56,Low (0 - 33 %),,,,,6.0,,-1.0,
Vehicle,Go,2nd Lane,Sudden Acceleration,13:54:14,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,2nd Lane,Sudden Break,13:54:25,Low (0 - 33 %),traffic,,,,,,,
Vehicle,Go,2nd Lane,,13:54:31,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Passenger,Stop,2nd Lane,,13:55:04,Low (0 - 33 %),,,,,7.0,1.0,,
Vehicle,Go,2nd Lane,,13:55:08,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,2nd Lane,,13:55:37,Low (0 - 33 %),ambulance,,,,,,,
Vehicle,Go,2nd Lane,,13:55:39,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:56:01,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:56:10,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:57:11,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:57:29,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,13:57:51,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,13:58:07,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,1 Lane Right,1st Lane,,13:58:29,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:58:37,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,13:58:39,Low (0 - 33 %),,,,,7.0,,-1.0,
Passenger,Load,1st Lane,,13:58:42,Low (0 - 33 %),,,,,,1.0,,
Vehicle,Go,1st Lane,,13:59:30,Low (0 - 33 %),,,,,,,,
Stoplight,Stop,1st Lane,,13:59:48,Low (0 - 33 %),,,,,9.0,2.0,,
Vehicle,Go,1st Lane,,14:01:02,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:01:40,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,14:01:44,Moderate (34 - 80 %),,,vehicle stopped in front,,,,,
Passenger,Load,1st Lane,Sudden Break,14:02:03,Moderate (34 - 80 %),,,,,11.0,2.0,,
Vehicle,Go,1st Lane,Sudden Acceleration,14:02:09,Moderate (34 - 80 %),"reaching the stoplight. free lane, caused traffic",,,30km/h,,,,
Vehicle,Stop,1st Lane,,14:02:07,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:02:40,Low (0 - 33 %),,,,,9.0,-2.0,,
Vehicle,Go,1st Lane,,14:02:42,Low (0 - 33 %),,,,,,,,
Stoplight,Stop,1st Lane,,14:03:17,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,14:03:27,Low (0 - 33 %),,,lots of pedestrian,12km/h,,,,
Vehicle,Stop,1st Lane,,14:04:13,Low (0 - 33 %),,,,,,,,
Vehicle,Unload,1st Lane,,14:04:15,Low (0 - 33 %),,,,,8.0,-1.0,,
Vehicle,Go,1st Lane,,14:04:25,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:04:37,Low (0 - 33 %),car u turn,,,,,,,
Vehicle,Go,1st Lane,,14:04:45,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:04:47,Low (0 - 33 %),,parked cars,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:05:45,Low (0 - 33 %),,end of terminal,,,,,,
Vehicle,Stop,1st Lane,,14:05:48,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,14:05:50,Low (0 - 33 %),,,,,0.0,-8.0,,
Passenger,Wait,1st Lane,,14:06:10,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,14:06:30,Low (0 - 33 %),,,,,5.0,5.0,,
Vehicle,Go,1st Lane,,14:08:47,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:09:07,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,14:09:10,Low (0 - 33 %),,,,,8.0,3.0,,
Passenger,Wait,1st Lane,,14:09:12,Low (0 - 33 %),,,,,,,,
Vehicle,Go,1st Lane,,14:09:48,Low (0 - 33 %),looking for passengers,,,2km/h,,,,
Vehicle,Stop,1st Lane,,14:10:20,Low (0 - 33 %),,,,,,,,
Vehicle,Load,1st Lane,,14:10:21,Low (0 - 33 %),"stopped longer, gettting payments",,,,,,,
Vehicle,Go,1st Lane,,14:10:33,Low (0 - 33 %),,,,10km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,14:12:13,Low (0 - 33 %),,overtake,,,,,,
Stoplight,Stop,2nd Lane,,14:12:35,Low (0 - 33 %),,,,,,,,
Passenger,Load,2nd Lane,,14:12:36,Moderate (34 - 80 %),,,,,10.0,2.0,,
Vehicle,Go,2nd Lane,,14:12:47,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:13:06,Moderate (34 - 80 %),,"near side walk, coming from intersection",,,,,,
Vehicle,Stop,1st Lane,,14:13:23,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:13:25,Low (0 - 33 %),,,,,9.0,,-1.0,
Vehicle,Go,1st Lane,,14:13:28,Low (0 - 33 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:13:36,Low (0 - 33 %),,"empty slot, no vehicle ahead",,,,,,
Vehicle,Stop,2nd Lane,,14:13:41,Low (0 - 33 %),,,"traffic, stopped before pedestrian lane",,,,,
Vehicle,Go,2nd Lane,,14:13:50,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,2nd Lane,,14:14:02,Low (0 - 33 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,14:14:30,Low (0 - 33 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,1 Lane Right,1st Lane,,14:16:52,Low (0 - 33 %),,avoid incoming inserting left traffic,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:17:15,Low (0 - 33 %),,"sees potential passengers, entered wider road",,,,,,
Vehicle,Stop,1st Lane,,14:17:17,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,14:17:20,Moderate (34 - 80 %),,,,,11.0,2.0,,
Vehicle,Go,1st Lane,,14:17:55,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:18:15,Moderate (34 - 80 %),,empty space in front,,,,,,
Vehicle,Stop,2nd Lane,,14:18:05,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,14:19:53,Moderate (34 - 80 %),,,"slow moving, traffic",3km/h,,,,
Vehicle,Stop,2nd Lane,,14:20:57,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,14:22:30,Moderate (34 - 80 %),,,"slow moving, traffic",4km/h,,,,
Vehicle,Stop,2nd Lane,,14:23:03,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,2nd Lane,,14:23:41,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:23:48,Moderate (34 - 80 %),,slow lane change,,,,,,
Vehicle,Stop,1st Lane,,14:23:09,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,1st Lane,,14:26:05,Moderate (34 - 80 %),,,"slow moving, traffic",2km/h,,,,
Vehicle,Stop,1st Lane,,14:26:45,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,1st Lane,,14:28:18,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:28:28,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:28:34,Moderate (34 - 80 %),,,,,13.0,2.0,,
Vehicle,Go,1st Lane,,14:29:17,Moderate (34 - 80 %),,,,2km/h,,,,
Vehicle,Stop,1st Lane,,14:30:41,Moderate (34 - 80 %),,,,,,,,
Vehicle,Go,1st Lane,,14:30:54,Moderate (34 - 80 %),,,,8km/h,,,,
Vehicle,Stop,1st Lane,,14:31:53,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:31:55,Moderate (34 - 80 %),,,jollibee,,15.0,2.0,,
Passenger,Wait,1st Lane,,14:31:57,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:31:59,Moderate (34 - 80 %),,,,,16.0,1.0,,
Vehicle,Go,1st Lane,,14:32:21,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:32:33,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:32:35,Moderate (34 - 80 %),,,,,18.0,2.0,,
Vehicle,Go,1st Lane,,14:32:38,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:32:47,Moderate (34 - 80 %),,"middle of road, cars parked at right",,,,,,
Vehicle,1 Lane Right,1st Lane,,14:32:47,Moderate (34 - 80 %),,return back,,,,,,
Vehicle,Stop,1st Lane,,14:33:13,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:33:15,Moderate (34 - 80 %),,,,,17.0,,-1.0,
Vehicle,Go,1st Lane,,14:33:27,Moderate (34 - 80 %),"slowed down because near school, beepin",,,10km/h,,,,
Vehicle,1 Lane Left,2nd Lane,,14:33:55,Moderate (34 - 80 %),sped up because no seen passengers,moving to bridge,,20km/h,,,,
Vehicle,1 Lane Right,1st Lane,Sudden Acceleration,14:34:04,Moderate (34 - 80 %),,passenger unloading,,,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:34:13,Moderate (34 - 80 %),,overtook then stopped,,,,,,
Passenger,Unload,1st Lane,,14:34:14,Moderate (34 - 80 %),,,,,16.0,,-1.0,
Vehicle,Go,1st Lane,,14:34:16,Moderate (34 - 80 %),no cars and traffic,,,30km/h,,,,
Vehicle,2 Lane Right,1st Lane,,14:35:18,Moderate (34 - 80 %),,"get passengers standing at right, entered a wider road of 4 lanes",abrupt swerve,,,,,
Vehicle,Stop,1st Lane,,14:35:32,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:35:34,Moderate (34 - 80 %),,,,,15.0,,-1.0,
Vehicle,Go,1st Lane,,14:35:43,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:36:12,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,1st Lane,,14:36:29,Moderate (34 - 80 %),,,,17km/h,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:36:59,Moderate (34 - 80 %),passenger wants to unload,,,,,,,
Passenger,Unload,1st Lane,,14:37:02,Moderate (34 - 80 %),,,,,,,,
Vehicle,Go,1st Lane,,14:37:09,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:37:10,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:37:14,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:37:23,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:37:25,Moderate (34 - 80 %),,,,,17.0,2.0,,
Passenger,Load,1st Lane,,14:37:30,Moderate (34 - 80 %),,,,,15.0,,-2.0,
Vehicle,Go,1st Lane,,14:37:42,Moderate (34 - 80 %),,,,20km/h,,,,
Vehicle,1 Lane Right,2nd Lane,,14:38:32,Moderate (34 - 80 %),,"will take inner road to turn right, bigger road of 4 lanes",,,,,,
Vehicle,1 Lane Right,1st Lane,,14:39:15,Moderate (34 - 80 %),,,abrupt swerve,,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:39:20,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:39:21,Moderate (34 - 80 %),,,,,13.0,,-2.0,
Vehicle,Go,1st Lane,,14:39:29,Moderate (34 - 80 %),,trying to overtake another jeep,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:39:36,Moderate (34 - 80 %),,trying to overtake another jeep,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:39:52,Moderate (34 - 80 %),,trying to overtake another jeep,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:40:00,Moderate (34 - 80 %),,trying to overtake another jeep,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:40:10,Moderate (34 - 80 %),,trying to overtake another jeep,,,,,,
Vehicle,Stop,1st Lane,,14:40:32,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:40:34,Moderate (34 - 80 %),,,,,15.0,2.0,,
Passenger,Unload,1st Lane,,14:40:34,Moderate (34 - 80 %),,,,,14.0,,-1.0,
Vehicle,Go,1st Lane,,14:40:36,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:41:11,Moderate (34 - 80 %),,,traffic,,,,,
Passenger,Load,1st Lane,,14:41:13,Moderate (34 - 80 %),,,,,15.0,1.0,,
Vehicle,Go,1st Lane,,14:41:22,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:41:46,Moderate (34 - 80 %),,,traffic,,,,,
Passenger,Load,1st Lane,,14:41:52,Moderate (34 - 80 %),,,,,16.0,1.0,,
Passenger,Go,1st Lane,,14:42:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:42:23,Moderate (34 - 80 %),,,intersection,,,,,
Vehicle,Stop,1st Lane,,14:42:28,Moderate (34 - 80 %),,,,,,,,
Vehicle,Go,1st Lane,,14:42:30,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:42:50,Moderate (34 - 80 %),,moving motor,,,,,,
Vehicle,2 Lane Right,1st Lane,,14:43:44,Moderate (34 - 80 %),,"possible station area, moved into wider lane",,,,,,
Vehicle,Stop,1st Lane,Sudden Break,14:43:58,Moderate (34 - 80 %),,traffic,,,,,,
Vehicle,Go,1st Lane,,14:44:46,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:45:09,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:45:10,Moderate (34 - 80 %),,,,,17.0,1.0,,
Vehicle,Go,1st Lane,,14:45:12,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:45:58,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:46:02,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:46:05,Moderate (34 - 80 %),,,,,16.0,,-1.0,
Vehicle,Go,1st Lane,,14:46:16,Moderate (34 - 80 %),,,,,18.0,2.0,,
Vehicle,Stop,1st Lane,Sudden Break,14:46:37,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:46:39,Moderate (34 - 80 %),,,,,17.0,,-1.0,
Vehicle,Go,1st Lane,,14:46:42,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:47:13,Moderate (34 - 80 %),,parked car,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:47:20,Moderate (34 - 80 %),,back to right lane,,,,,,
Passenger,Stop,1st Lane,,14:47:40,Moderate (34 - 80 %),fake passenger,,,,,,,
Vehicle,Go,1st Lane,,14:47:42,Moderate (34 - 80 %),,,,,,,,
Stoplight,Stop,1st Lane,,14:50:49,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:50:50,Moderate (34 - 80 %),,,,,18.0,1.0,,
Passenger,Unload,1st Lane,,14:50:52,Moderate (34 - 80 %),,,,,17.0,,-1.0,
Vehicle,Go,1st Lane,,14:52:23,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:53:12,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:53:13,Moderate (34 - 80 %),,,,,18.0,1.0,,
Vehicle,Go,1st Lane,,14:53:16,Moderate (34 - 80 %),slow down passengers marketplace,,,,,,,
Vehicle,Stop,1st Lane,,14:53:39,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,14:53:40,Moderate (34 - 80 %),,,,,13.0,,-5.0,
Vehicle,Go,1st Lane,,14:53:52,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:54:02,Moderate (34 - 80 %),,,,,,,,
Passenger,Load,1st Lane,,14:54:04,Moderate (34 - 80 %),,,,,14.0,1.0,,
Vehicle,Go,1st Lane,,14:54:10,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,14:55:30,Moderate (34 - 80 %),,,traffic,,,,,
Vehicle,Go,1st Lane,,14:56:44,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Left,2nd Lane,,14:57:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,1 Lane Right,1st Lane,,14:59:31,Moderate (34 - 80 %),,turning right,,,,,,
Vehicle,Stop,1st Lane,,15:00:46,Moderate (34 - 80 %),,,,,,,,
Vehicle,Unload,1st Lane,,15:00:47,Moderate (34 - 80 %),,,,,13.0,,-1.0,
Vehicle,Go,1st Lane,,15:02:07,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,15:08:00,Moderate (34 - 80 %),,,,,,,,
Vehicle,Unload,1st Lane,,15:08:15,Low (0 - 33 %),,,,,0.0,,-13.0,
Passenger,Wait,1st Lane,,12:40:20,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,12:40:25,Low (0 - 33 %),,,,,5.0,5.0,,
Vehicle,Go,1st Lane,,12:42:01,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:43:54,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,12:43:56,Moderate (34 - 80 %),,,,,10.0,5.0,,
Vehicle,Go,1st Lane,,12:43:58,Moderate (34 - 80 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:45:04,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,12:45:06,Low (0 - 33 %),,,,,8.0,,-2.0,
Vehicle,Go,1st Lane,,12:45:08,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:45:33,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,12:48:35,Moderate (34 - 80 %),,,,,11.0,3.0,,
Vehicle,Go,1st Lane,,12:48:37,Moderate (34 - 80 %),,,,,,,,
Stoplight,Stop,1st Lane,,12:50:22,Moderate (34 - 80 %),,,,,,,,
Passenger,Unload,1st Lane,,12:50:25,Low (0 - 33 %),,,,,7.0,,-4.0,
Vehicle,Go,1st Lane,,12:51:37,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:52:39,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,12:52:41,Low (0 - 33 %),,,,,8.0,1.0,,
Vehicle,Go,1st Lane,,12:52:43,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:55:21,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,12:55:24,Low (0 - 33 %),,,,,7.0,,-1.0,
Vehicle,Go,1st Lane,,12:55:30,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,12:58:13,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,12:58:15,Low (0 - 33 %),,,,,9.0,2.0,,
Vehicle,Go,1st Lane,,12:58:17,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:01:02,Low (0 - 33 %),,,,,,,,
Passenger,Unload,1st Lane,,13:01:04,Low (0 - 33 %),,,,,8.0,,-1.0,
Vehicle,Go,1st Lane,,13:01:06,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:02:44,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:02:46,Low (0 - 33 %),,,,,9.0,1.0,,
Vehicle,Go,1st Lane,,13:02:48,Low (0 - 33 %),,,,,,,,
Vehicle,Stop,1st Lane,,13:03:10,Low (0 - 33 %),,,,,,,,
Passenger,Load,1st Lane,,13:03:12,Moderate (34 - 80 %),,,,,14.0,5.0,,
